accuracy; max_depth; splitter; criterion; min_sample_split; removed_columns;attributes
0.8491228070175438;4;random;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8461152882205514;4;best;entropy;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8461152882205514;4;best;entropy;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8458646616541353;4;best;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8458646616541353;4;best;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8448621553884712;None;best;gini;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8433583959899749;None;random;gini;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8431077694235589;4;best;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8431077694235589;4;best;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8421052631578947;None;random;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8411027568922306;None;best;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8398496240601503;4;best;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8398496240601503;4;best;gini;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8393483709273183;None;random;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8380952380952381;None;random;gini;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;entropy;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;entropy;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;gini;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;best;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;random;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;random;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;random;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8330827067669173;2;random;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8325814536340852;None;random;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8273182957393483;None;best;gini;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8273182957393483;None;random;gini;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8270676691729324;None;random;entropy;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8253132832080201;None;best;entropy;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8238095238095238;None;random;entropy;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8233082706766917;None;random;gini;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8228070175438597;None;best;gini;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8215538847117794;None;random;gini;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8213032581453634;None;best;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8177944862155389;None;best;gini;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8172932330827067;None;random;entropy;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8077694235588972;None;random;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8052631578947369;None;best;entropy;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7984962406015037;None;best;gini;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7979949874686717;None;best;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.7969924812030075;None;best;entropy;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7944862155388471;None;best;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.7932330827067668;None;best;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7912280701754386;None;random;entropy;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7884711779448621;None;random;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.7879699248120301;None;best;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.7859649122807018;None;best;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.7839598997493735;None;random;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.780451127819549;None;best;entropy;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.7741854636591479;None;random;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
